old_url,new_url
/integration,/ingest
/integration/additional-operations-on-records,/ingest
/integration/additional-operations-on-records/advanced-mapping-code,/ingest/mapping/advanced-mapping-code
/integration/additional-operations-on-records/approval,/ingest/processing/approval
/integration/additional-operations-on-records/logs,/ingest/troubleshooting/logs
/integration/additional-operations-on-records/monitoring,/ingest/troubleshooting/monitoring
/integration/additional-operations-on-records/preprocess-rules,/ingest/mapping/preprocess-rules
/integration/additional-operations-on-records/preview,/ingest/processing/preview
/integration/additional-operations-on-records/property-rules,/ingest/mapping/property-rules
/integration/additional-operations-on-records/quarantine,/ingest/troubleshooting/quarantine
/integration/additional-operations-on-records/remove-records,/ingest/processing/remove-records
/integration/additional-operations-on-records/validations,/ingest/processing/validations
/integration/build-integration,/develop/integrations/build-integration
/integration/crawlers-and-enrichers,/ingest/connectors
/integration/crawling,/ingest/connectors/crawling
/integration/create-mapping,/ingest/mapping/create-mapping
/integration/data sources,/ingest/data-sources
/integration/database,/ingest/data-sources/database
/integration/define-data-to-ingest,/ingest/data-sources/define-data-to-ingest
/integration/delts-crawls,/develop/integrations/delts-crawls
/integration/endpoint,/ingest/data-sources/endpoint
/integration/file,/ingest/data-sources/file
/integration/install-integrations,/ingest/connectors/install-integrations
/integration/introduction,/ingest/connectors/about-integrations
/integration/manual-data-entry,/ingest/manual-data-entry
/integration/manual-data-entry/add-records-in-a-manual-data-entry-project,/ingest/manual-data-entry/add-records-in-a-manual-data-entry-project
/integration/manual-data-entry/configure-a-manual-data-entry-project,/ingest/manual-data-entry/configure-a-manual-data-entry-project
/integration/manual-data-entry/manage-a-manual-data-entry-project,/ingest/manual-data-entry/manage-a-manual-data-entry-project
/integration/process-data,/ingest/processing/process-data
/integration/review-mapping,/ingest/mapping/review-mapping
/integration/robust-ntegrations,/develop/integrations/robust-ntegrations
/kb,/troubleshooting
/kb/14-days-live,/playbooks/go-live-in-14-days
/kb/azure-customer-usage-attribution,/operate/security/azure-customer-usage-attribution
/kb/basic-auth-cluedin-clean,/operate/security/basic-auth-cluedin-clean
/kb/best-practices-for-matching-and-merging,/master/deduplication/best-practices-for-matching-and-merging
/kb/better-matches,/master/deduplication/better-matches
/kb/cel,/govern/rules/cel
/kb/cluedin-ai,/playbooks/implement-cluedin-with-ai
/kb/cluedin-data-engineers,/learning-paths/role-handbooks/cluedin-data-engineers
/kb/cluedin-data-governance-manager,/learning-paths/role-handbooks/cluedin-data-governance-manager
/kb/cluedin-data-modellers,/learning-paths/role-handbooks/cluedin-data-modellers
/kb/cluedin-for-administrators,/learning-paths/role-handbooks/cluedin-for-administrators
/kb/cluedin-for-data-stewards,/learning-paths/role-handbooks/cluedin-for-data-stewards
/kb/cluedin-for-developers,/learning-paths/role-handbooks/cluedin-for-developers
/kb/cluedin-solution-architects,/learning-paths/role-handbooks/cluedin-solution-architects
/kb/cluedin-system-integrators,/learning-paths/role-handbooks/cluedin-system-integrators
/kb/config-migrate,/operate/configuration/sync-configuration-between-environments
/kb/connect-lots-of-systems,/ingest/patterns/connect-lots-of-systems
/kb/connect-to-fivetran,/ingest/patterns/connect-to-fivetran
/kb/connect-to-slack,/publish/integration-patterns/connect-to-slack
/kb/cost-efficience,/operate/cost-and-scaling/cost-efficience
/kb/dbt-to-cluedin,/ingest/patterns/dbt-to-cluedin
/kb/defender-for-cloud-recommendations,/operate/security/defender-for-cloud-recommendations
/kb/disaster-recovery-plan,/operate/backup-and-restore/disaster-recovery-plan
/kb/elastic-index-rebuild,/troubleshooting/elastic-index-rebuild
/kb/env-management-playbook,/operate/operations/env-management-playbook
/kb/faq,/get-started/faq
/kb/how-to-build-an-organizational-hierarchy,/model/hierarchies/how-to-build-an-organizational-hierarchy
/kb/how-to-fix-address-data,/govern/cleaning/how-to-fix-address-data
/kb/how-to-match-reference-data,/model/data-catalog/match-reference-data
/kb/how-to-rollback-or-undo,/master/golden-records/how-to-rollback-or-undo
/kb/how-to-standardize-dates,/govern/cleaning/how-to-standardize-dates
/kb/how-to-tag-records-with-data-quality-issues,/govern/tags/how-to-tag-records-with-data-quality-issues
/kb/how-to-use-tags-with-golden-records-and-data-parts,/govern/tags/use-tags-with-rules
/kb/how-to-write-rules-cross-domain,/govern/rules/rules-across-business-domains
/kb/ingress-nginx-controller,/operate/security/ingress-nginx-controller
/kb/log4j,/operate/security/log4j
/kb/platform-versioning,/release-notes/platform-versioning
/kb/product-toolkit-issues,/troubleshooting/product-toolkit-issues
/kb/rules-not-working,/troubleshooting/rules-not-working
/kb/rules-slow,/troubleshooting/rules-slow
/kb/set-retention,/govern/set-retention
/kb/slow,/troubleshooting/slow
/kb/snowflake-to-cluedin,/ingest/patterns/snowflake-to-cluedin
/kb/sso-auth-cluedin-clean,/operate/security/sso-auth-cluedin-clean
/kb/stop-cluster,/operate/cost-and-scaling/stop-cluster
/kb/supported-characters,/model/data-catalog/supported-characters
/kb/sync-aks-to-akv,/operate/configuration/sync-aks-to-akv
/kb/unable-to-delete,/troubleshooting/unable-to-delete
/kb/writing-back-to-operational-systems,/publish/integration-patterns/writing-back-to-operational-systems
/key-terms-and-features,/get-started/core-concepts
/key-terms-and-features/billable-records,/get-started/core-concepts/billable-records
/key-terms-and-features/clue-reference,/get-started/core-concepts/clue-reference
/key-terms-and-features/connectors,/get-started/core-concepts/connectors
/key-terms-and-features/data-life-cycle,/get-started/core-concepts/data-life-cycle
/key-terms-and-features/edges,/model/relationships/edges
/key-terms-and-features/entity-codes,/model/identifiers
/key-terms-and-features/entity-type,/model/business-domains/business-domains-explained
/key-terms-and-features/eventual-connectivity,/get-started/core-concepts/eventual-connectivity
/key-terms-and-features/filters,/master/filters
/key-terms-and-features/golden-records,/get-started/core-concepts/golden-records
/key-terms-and-features/golden-records/explain-log,/master/golden-records/explain-log
/key-terms-and-features/golden-records/golden-record-relations,/master/golden-records/golden-record-relations
/key-terms-and-features/golden-records/history,/master/golden-records/history
/key-terms-and-features/origin,/get-started/core-concepts/origin
/key-terms-and-features/search,/master/search
/key-terms-and-features/vocabularies,/model/vocabularies/vocabularies-explained
/learning-paths/data-architect-course,/learning-paths/data-architect
/learning-paths/data-architect-course/ai-assisted-rule-design,/learning-paths/data-architect/ai-assisted-rule-design
/learning-paths/data-architect-course/capstone-architecture-review,/learning-paths/data-architect/capstone-architecture-review
/learning-paths/data-architect-course/course-purpose-and-environment-strategy,/learning-paths/data-architect/course-purpose-and-environment-strategy
/learning-paths/data-architect-course/export-targets-and-destination-setup,/learning-paths/data-architect/export-targets-and-destination-setup
/learning-paths/data-architect-course/identifiers-review-mapping-and-relations,/learning-paths/data-architect/identifiers-review-mapping-and-relations
/learning-paths/data-architect-course/ingestion-design-and-mapping-strategy,/learning-paths/data-architect/ingestion-design-and-mapping-strategy
/learning-paths/data-architect-course/initial-rules-and-processing-logic,/learning-paths/data-architect/initial-rules-and-processing-logic
/learning-paths/data-architect-course/matching-projects-and-steward-handoff,/learning-paths/data-architect/matching-projects-and-steward-handoff
/learning-paths/data-architect-course/platform-model-business-domains-vocabularies-and-golden-records,/learning-paths/data-architect/platform-model-business-domains-vocabularies-and-golden-records
/learning-paths/data-architect-course/release-discipline-across-environments,/learning-paths/data-architect/release-discipline-across-environments
/learning-paths/data-architect-course/search-record-anatomy-and-diagnostics,/learning-paths/data-architect/search-record-anatomy-and-diagnostics
/learning-paths/data-architect-course/streams-and-downstream-contracts,/learning-paths/data-architect/streams-and-downstream-contracts
/learning-paths/data-steward-course,/learning-paths/data-steward
/learning-paths/data-steward-course/ai-assisted-stewardship,/learning-paths/data-steward/ai-assisted-stewardship
/learning-paths/data-steward-course/capstone-operating-loop,/learning-paths/data-steward/capstone-operating-loop
/learning-paths/data-steward-course/clean-projects-and-remediation,/learning-paths/data-steward/clean-projects-and-remediation
/learning-paths/data-steward-course/course-purpose-and-setup,/learning-paths/data-steward/course-purpose-and-setup
/learning-paths/data-steward-course/deduplication-and-conflict-resolution,/learning-paths/data-steward/deduplication-and-conflict-resolution
/learning-paths/data-steward-course/glossary-tags-and-governance,/learning-paths/data-steward/glossary-tags-and-governance
/learning-paths/data-steward-course/ingestion-mapping-and-processing-for-stewards,/learning-paths/data-steward/ingestion-mapping-and-processing-for-stewards
/learning-paths/data-steward-course/instance-tour-and-golden-record-mindset,/learning-paths/data-steward/instance-tour-and-golden-record-mindset
/learning-paths/data-steward-course/search-filters-and-record-inspection,/learning-paths/data-steward/search-filters-and-record-inspection
/learning-paths/data-steward-course/streams-downstream-impact-and-handoffs,/learning-paths/data-steward/streams-downstream-impact-and-handoffs
/learning-paths/data-steward-course/validations-and-mapping-checkpoints,/learning-paths/data-steward/validations-and-mapping-checkpoints
/management,/govern
/management/access-control,/administer/access-control
/management/access-control/access-control-reference,/administer/access-control/access-control-reference
/management/access-control/create-access-control-policy,/administer/access-control/create-access-control-policy
/management/access-control/manage-access-control-policies,/administer/access-control/manage-access-control-policies
/management/ai-agents,/govern/ai-agents
/management/ai-agents/ai-agents-faqs,/govern/ai-agents/ai-agents-faqs
/management/ai-agents/built-in-ai-agents,/govern/ai-agents/built-in-ai-agents
/management/ai-agents/create-configure-and-run-an-ai-agent,/govern/ai-agents/create-configure-and-run-an-ai-agent
/management/ai-agents/prerequisites-to-using-ai-agents,/govern/ai-agents/prerequisites-to-using-ai-agents
/management/ai-agents/review-the-results-returned-by-an-ai-agent,/govern/ai-agents/review-the-results-returned-by-an-ai-agent
/management/ai-agents/view-and-revert-changes-made-by-ai-agent,/govern/ai-agents/view-and-revert-changes-made-by-ai-agent
/management/data-catalog,/model/data-catalog
/management/data-catalog/data-types,/model/data-catalog/data-types
/management/data-catalog/lookup-data-type,/model/data-catalog/lookup-data-type
/management/data-catalog/manage-vocabulary-keys,/model/vocabularies/manage-vocabulary-keys
/management/data-catalog/modeling-approaches,/model/data-catalog/modeling-approaches
/management/data-catalog/search-data-catalog,/model/data-catalog/search-data-catalog
/management/data-catalog/vocabulary,/model/vocabularies/manage-vocabularies
/management/data-catalog/vocabulary-keys,/model/vocabularies/vocabulary-keys
/management/deduplication,/master/deduplication
/management/deduplication/concept-of-deduplication,/master/deduplication/concept-of-deduplication
/management/deduplication/create-a-deduplication-project,/master/deduplication/create-a-deduplication-project
/management/deduplication/deduplication-in-practice,/master/deduplication/deduplication-in-practice
/management/deduplication/deduplication-reference,/master/deduplication/deduplication-reference
/management/deduplication/manage-a-deduplication-project,/master/deduplication/manage-a-deduplication-project
/management/deduplication/manage-groups-of-duplicates,/master/deduplication/manage-groups-of-duplicates
/management/entity-type,/model/business-domains/manage-business-domains
/management/hierarchy-builder,/model/hierarchies
/management/hierarchy-builder/concept-of-hierarchy,/model/hierarchies/concept-of-hierarchy
/management/hierarchy-builder/create-a-hierarchy,/model/hierarchies/create-a-hierarchy
/management/hierarchy-builder/manage-hierarchies,/model/hierarchies/manage-hierarchies
/management/hierarchy-builder/work-in-a-hierarchy-project,/model/hierarchies/work-in-a-hierarchy-project
/management/modelling,/archive/unsupported-features/modelling
/management/rules,/govern/rules
/management/rules/best-practices-for-rules,/govern/rules/best-practices-for-rules
/management/rules/create-rule,/govern/rules/create-rule
/management/rules/manage-rules,/govern/rules/manage-rules
/management/rules/power-fx-formulas,/govern/rules/power-fx-formulas
/management/rules/rule-types,/govern/rules/rule-types
/management/rules/rules-reference,/govern/rules/rules-reference
/microsoft-integration,/solutions
/microsoft-integration/adf-integration,/solutions/azure-data-factory
/microsoft-integration/adf-integration/copy-data,/solutions/azure-data-factory/copy-data
/microsoft-integration/adf-integration/data-flow-activity,/solutions/azure-data-factory/data-flow-activity
/microsoft-integration/adf-integration/private-link,/solutions/azure-data-factory/private-link
/microsoft-integration/copilot-integration,/solutions/copilot
/microsoft-integration/copilot-integration/get-access-to-copilot,/solutions/copilot/get-access-to-copilot
/microsoft-integration/copilot-integration/work-with-copilot,/solutions/copilot/work-with-copilot
/microsoft-integration/event-hub-integration,/solutions/event-hub-integration
/microsoft-integration/excel-add-in,/solutions/excel-add-in
/microsoft-integration/fabric,/solutions/fabric
/microsoft-integration/fabric/connect-cluedin-to-fabric,/solutions/fabric/connect-cluedin-to-fabric
/microsoft-integration/fabric/connect-fabric-to-cluedin,/solutions/fabric/connect-fabric-to-cluedin
/microsoft-integration/fabric/use-cluedin-fabric-workload,/solutions/fabric/use-cluedin-fabric-workload
/microsoft-integration/fabric/use-cluedin-rules-in-fabric,/solutions/fabric/use-cluedin-rules-in-fabric
/microsoft-integration/mds-integration,/solutions/master-data-services
/microsoft-integration/mds-integration/azure-relay,/solutions/master-data-services/azure-relay
/microsoft-integration/mds-integration/direct-connection,/solutions/master-data-services/direct-connection
/microsoft-integration/open-ai-integration,/solutions/open-ai-integration
/microsoft-integration/power-automate,/solutions/power-automate
